id,name,description,price,category,image_url,metadata,embedding
3,Apple iPhone 15 Pro Max - 256GB Titanium,"Forged in titanium, the iPhone 15 Pro Max features a textured matte glass back and the A17 Pro chip for next-level performance. Capture stunning photos in low light with the 48MP main camera and enjoy all-day battery life on Saudi's 5G networks. USB-C support included.",5199,Electronics,https://placehold.co/600x400?text=iPhone+15+Pro+Max,"{""brand"": ""Apple"", ""color"": ""Natural Titanium""}",
5,Samsung Galaxy S24 Ultra AI Smartphone,"Unleash new levels of creativity and productivity with Galaxy AI. The S24 Ultra comes with a built-in S Pen, a durable titanium frame, and a 200MP camera system that captures reality with absolute precision. Perfect for business and photography enthusiasts in the region.",4999,Electronics,https://placehold.co/600x400?text=Samsung+S24+Ultra,"{""os"": ""Android"", ""brand"": ""Samsung""}",
11,ASUS ROG Zephyrus G14 Gaming Laptop,"Dominate the competition with the ROG Zephyrus G14. Powered by AMD Ryzen 9 and NVIDIA GeForce RTX 4060, this compact powerhouse delivers ultra-smooth graphics on a 120Hz Nebula Display. Perfect for gamers on the go. AniMe Matrix LED display on lid.",4800,Electronics,https://placehold.co/600x400?text=ROG+Zephyrus+G14,"{""gpu"": ""RTX 4060"", ""brand"": ""ASUS""}",
12,Gucci GG Marmont Matelassé Shoulder Bag,"A structured leather chain shoulder bag with a softly structured shape and an oversized flap closure with Double G hardware. The sliding chain strap can be worn multiple ways, changing between a shoulder and a top handle bag. Made in Italy.",4500,Fashion,https://placehold.co/600x400?text=Gucci+Marmont+Bag,"{""brand"": ""Gucci"", ""material"": ""Leather""}",
6,Men's Classic Swiss Automatic Watch,"A timeless masterpiece featuring a stainless steel case, sapphire crystal glass, and a precise Swiss automatic movement. This water-resistant luxury timepiece is the perfect accessory for the modern gentleman in Dammam. Features a date window and luminous hands.",3500,Fashion,https://placehold.co/600x400?text=Swiss+Automatic+Watch,"{""brand"": ""Generic Luxury"", ""water_resistance"": ""50m""}",
1,Sony PlayStation 5 Console (Slim Edition),"Experience lightning-fast loading with an ultra-high-speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio. The new Slim design packs powerful gaming technology into a sleek and compact console perfect for your living room setup. Includes Astro's Playroom pre-installed.",2699,Electronics,https://placehold.co/600x400?text=Sony+PlayStation+5,"{""brand"": ""Sony"", ""warranty"": ""2 Years Agent Warranty""}",
15,Dyson Airwrap Multi-Styler Complete Long,Curl. Shape. Smooth and hide flyaways. With no extreme heat. Re-engineered attachments harness Enhanced Coanda airflow to create your styles. Ideal for chest-length or longer hair. Comes in Vinca Blue and Rosé storage case.,2499,Electronics,https://placehold.co/600x400?text=Dyson+Airwrap,"{""type"": ""Hair Styler"", ""brand"": ""Dyson""}",
13,LG 34'' UltraWide Monitor 144Hz,"Expand your workspace and gaming field of view with this UltraWide QHD monitor. IPS technology with sRGB 99% color gamut, HDR 10, and AMD FreeSync ensures fluid motion and vibrant colors for content creators and gamers. Split screen capable.",1800,Electronics,https://placehold.co/600x400?text=LG+UltraWide+Monitor,"{""brand"": ""LG"", ""resolution"": ""3440 x 1440""}",
9,Apple AirPods Pro (2nd Generation) USB-C,"Up to 2x more Active Noise Cancellation than the previous generation. Spatial Audio takes immersion to a remarkably personal level. The MagSafe Charging Case now features a speaker and lanyard loop for easy tracking. Dust, sweat, and water resistant.",949,Electronics,https://placehold.co/600x400?text=AirPods+Pro+2,"{""brand"": ""Apple"", ""connection"": ""Bluetooth 5.3""}",
4,Nike Air Jordan 1 High OG 'Chicago',"The sneaker that started it all. The Air Jordan 1 High OG returns in the classic Chicago colorway. Built with premium leather and the iconic swoosh, these sneakers provide legendary style and comfort for the streets of Jeddah. High-top silhouette with air-sole unit for cushioning.",899,Fashion,https://placehold.co/600x400?text=Air+Jordan+1,"{""brand"": ""Nike"", ""gender"": ""Unisex""}",
7,"Anker Prime 27,650mAh Power Bank","Never run out of battery during your desert trips or flights. This massive capacity power bank features 250W output, capable of charging laptops and phones simultaneously. Includes a smart digital display to monitor power levels. Airline safe.",699,Electronics,https://placehold.co/600x400?text=Anker+Prime+Powerbank,"{""brand"": ""Anker"", ""capacity"": ""27650mAh""}",
14,Ray-Ban Aviator Classic Sunglasses,"Currently one of the most iconic sunglass models in the world, Ray-Ban Aviator Classic sunglasses were originally designed for U.S. Aviators in 1937. They provide great styling, exceptional quality, and comfort with UV protection. Gold frame with green classic G-15 lenses.",650,Fashion,https://placehold.co/600x400?text=RayBan+Aviator,"{""brand"": ""Ray-Ban"", ""frame"": ""Metal""}",
2,Luxury Black Chiffon Abaya with Gold Embroidery,"Elevate your modest fashion wardrobe with this premium black chiffon Abaya. Featuring intricate gold embroidery along the sleeves and hem, this piece offers a flowing, elegant silhouette suitable for both casual outings and formal events in Riyadh evenings. Comes with a matching Shayla.",450,Fashion,https://placehold.co/600x400?text=Black+Chiffon+Abaya,"{""brand"": ""Local Designer"", ""fabric"": ""Chiffon""}",
17,Logitech MX Master 3S Performance Mouse,"Meet the mouse remotely reinvented. Feel the moment of your workflow with even more precision, tactility, and performance, thanks to Quiet Clicks and 8,000 DPI track-on-glass scanning. Ergonomic silhouette.",420,Electronics,https://placehold.co/600x400?text=Logitech+MX+Master+3S,"{""brand"": ""Logitech"", ""connectivity"": ""Bluetooth/Bolt""}",
19,JBL Flip 6 Portable Waterproof Speaker,"Your adventure companion. The JBL Flip 6 delivers powerful JBL Original Pro Sound with exceptional clarity thanks to its 2-way speaker system. It's waterproof and dustproof (IP67), so you can bring it anywhere in any weather. 12 hours of playtime.",399,Electronics,https://placehold.co/600x400?text=JBL+Flip+6,"{""brand"": ""JBL"", ""features"": ""Waterproof""}",
8,Adidas Yeezy Slide 'Onyx',"The Yeezy Slide features injected EVA foam for lightweight durability, while the soft top layer in the footbed offers immediate step-in comfort. The outsole utilizes strategic groove placement for optimal traction and style. Ideal for home or casual wear.",380,Fashion,https://placehold.co/600x400?text=Yeezy+Slide+Onyx,"{""brand"": ""Adidas"", ""color"": ""Onyx""}",
10,Traditional White Saudi Thobe - Premium Cotton,"Expertly tailored from high-quality Japanese cotton, this traditional white Thobe offers breathability and comfort for the hot Saudi climate. Features a structured collar and refined cuffs for a sharp, professional look. Easy iron fabric.",280,Fashion,https://placehold.co/600x400?text=Saudi+White+Thobe,"{""brand"": ""Local Tailor"", ""material"": ""Japanese Cotton""}",
20,Oversized Beige Hoodie - Streetwear Collection,"Stay cozy and stylish with this heavyweight cotton blend hoodie in a neutral beige tone. Features a dropped shoulder design and kangaroo pocket, perfect for the modern streetwear aesthetic popular in Riyadh. Anti-pilling fabric.",220,Fashion,https://placehold.co/600x400?text=Beige+Hoodie,"{""fit"": ""Oversized"", ""brand"": ""Urban Style""}",
18,Designer Leather Belt with Silver Buckle,"Crafted from genuine full-grain leather, this durable belt features a sleek brushed silver buckle. A versatile accessory that pairs perfectly with both formal trousers and casual jeans. Available in various waist sizes.",200,Fashion,https://placehold.co/600x400?text=Leather+Belt,"{""brand"": ""Generic Luxury"", ""material"": ""Leather""}",
16,Silk Scarf with Geometric Arabesque Print,"Add a touch of sophistication to any outfit with this 100% silk scarf featuring a modern geometric Arabesque print. Soft to the touch and versatile, it can be styled as a hijab, neck scarf, or bag accessory. Dimensions: 90cm x 90cm.",150,Fashion,https://placehold.co/600x400?text=Silk+Scarf,"{""brand"": ""Local Boutique"", ""material"": ""Silk""}",